#{"t_start": 1666249097.6510453, "env_id": "smb-snake-v0"}
r,l,t
28.64539,27,38231.13336
123.206337,379,38713.332458
234.29372,225,39010.291594
217.781698,216,39378.089909
43.517482,41,39445.390374
2.086179,1,39456.433343
247.488347,240,39744.570228
293.623427,301,40274.645959
171.365019,171,40479.615388
282.698368,288,40869.332028
234.409343,227,41136.587661
239.911873,237,41374.324752
2583.643084,1059,44351.731865
6.175382,5,44365.093987
288.385443,289,44973.668815
11.68719,11,44988.848769
10.712422,9,45014.152002
1285.287277,728,46367.77467
299.212524,315,46865.611974
280.238271,280,47431.960802
283.595214,280,48103.018687
321.969223,336,48575.957737
231.301987,225,48840.774415
232.3737,392,49334.26151
289.273842,283,49671.132378
176.100657,169,49995.33209
175.31096,386,50598.135326
253.325094,251,51077.156422
137.343291,391,51942.434409
330.87848,391,52660.638262
3937.493534,1177,58010.312409
2839.517651,934,60175.197782
168.960362,166,60333.638138
3321.094901,1177,62010.488434
21.452207,21,62037.104928
26.949873,27,62067.118756
12.986184,12,62094.590748
126.916047,123,62276.919724
84.687566,81,62410.482159
26.941926,26,62445.898855
24.003403,23,62493.887
19.803679,19,62517.743271
9.172407,8,62532.781797
7.101797,7,62546.839595
13.88565,13,62573.245043
27.284386,25,62611.527632
19.304048,18,62635.325729
13.859098,13,62653.521826
88.934858,86,62770.952329
59.843568,58,62840.230577
87.927639,85,62928.845962
1982.575762,785,64610.301376
330.44181,337,64994.258757
55.924293,54,65056.472441
651.956244,510,65886.610599
5.874222,6,65896.876558
92.447677,90,66028.182235
11.015412,11,66055.800173
11.8592,11,66072.232913
12.542045,11,66097.491566
120.819303,119,66209.425217
14.620978,14,66230.80755
73.509138,72,66317.6684
10.182307,8,66330.594917
12.479228,12,66349.157559
129.728968,127,66475.277096
60.396129,59,66563.607117
16.129303,16,66619.443515
62.936839,61,66710.327574
18.108197,17,66759.787731
15.018595,15,66778.513608
9.054278,7,66792.473211
13.49529,14,66836.941204
89.714421,88,66928.51358
16.856846,15,66977.34563
119.101206,116,67100.49568
57.836783,57,67165.612969
93.014509,91,67287.623538
58.587602,57,67359.315013
11.720448,11,67376.114035
66.362209,63,67441.687219
120.110744,118,67557.591004
10.016215,10,67580.519598
10.377248,9,67614.104591
11.033999,11,67628.48153
28.863441,28,67661.410641
23.07638,22,67689.913358
109.976427,106,67824.099162
29.760986,27,67859.656951
20.60679,18,67881.427954
54.716189,53,67976.410424
27.555141,26,68008.003889
9.888846,9,68025.32223
90.687556,88,68112.879869
12.094408,11,68138.899992
69.228991,68,68237.943722
8.241911,8,68265.119066
12.029696,11,68279.35368
15.973782,15,68300.166619
105.799238,104,68400.162632
17.604556,17,68424.751297
5.481344,5,68439.266634
43.659741,41,68508.422912
53.690233,53,68565.969882
8.185834,7,68578.867149
16.109989,15,68600.995426
18.200713,17,68634.217616
64.319311,63,68730.973342
15.670776,14,68761.374295
9.496567,9,68779.97892
19.907328,19,68817.676901
102.839976,101,68946.567103
29.267838,28,68979.13173
68.740365,67,69054.423898
11.176024,10,69074.087171
25.647986,24,69104.242486
14.135128,13,69129.104357
9.659976,9,69148.457943
11.148593,11,69162.923165
11.692667,10,69178.34615
12.674583,12,69195.412756
10.23475,8,69213.008685
12.923819,12,69235.721495
1407.927739,834,70636.079711
16.174287,15,70660.482198
2986.348991,1172,72940.050796
126.621398,122,73162.688588
16.066414,15,73181.749355
266.391058,272,73612.045089
4.206156,3,73621.051043
233.637655,228,73950.13547
20.526768,20,74006.077756
240.097821,235,74338.676821
1564.169946,816,76151.791252
371.390937,386,76643.408656
281.917747,276,76984.22516
1538.166935,668,78257.22089
368.341518,391,78778.484977
360.288399,357,79258.516279
476.159291,417,79807.596884
428.811662,407,80504.767808
397.58501,396,81129.438357
214.40715,207,81460.510504
0.72818,1,81470.313978
291.554,285,81819.089628
30.868695,28,81881.843465
49.825069,47,81976.193922
334.910114,330,82388.981639
193.173939,222,82726.96462
341.196672,341,83262.092105
176.544921,170,83521.831613
380.471064,395,84304.533153
2695.483472,1177,86594.191003
12.439561,12,86611.272538
52.676502,51,86664.557481
283.948429,278,86999.626312
172.245205,167,87227.011463
4.395613,4,87241.386039
1087.19612,678,88350.41455
2700.440907,1568,90376.401744
3230.720309,1568,92022.4719
444.341142,415,92477.049053
2624.669991,1179,94358.287178
117.844489,117,94474.527625
985.443301,809,95391.932007
2506.062823,1290,97064.571486
23.885671,22,97094.129878
29.432611,27,97143.102389
