#{"t_start": 1666814757.230863, "env_id": "smb-up-right-v0"}
r,l,t
7.885088,5,1869.031486
241.973937,28,1872.439101
10.208861,5,1873.662795
219.174116,28,1876.813277
18.308003,4,1878.028752
2.791783,1,1879.122215
37.081081,6,1880.689507
33.280209,5,1881.88458
10.306852,5,1883.492964
19.189931,7,1884.963189
271.614512,28,1888.09939
47.781681,6,1889.775302
18.601087,6,1891.730738
-0.687139,2,1893.075034
5.122098,3,1894.330855
16.583029,5,1896.747648
40.689853,5,1897.956377
255.432447,28,1901.562136
247.763432,28,1904.772089
21.227919,6,1906.186592
20.261075,4,1907.400523
9.689236,5,1908.60733
7.557299,5,1909.84859
48.213476,6,1911.631915
13.295464,5,1912.909237
16.681925,5,1914.837177
56.348277,7,1916.373356
19.785786,6,1917.884441
253.924157,28,1921.310233
19.641787,4,1922.928288
17.213599,6,1924.263944
35.399675,7,1926.886565
0.002363,2,1927.96623
0.433629,4,1929.149287
13.332796,3,1930.384515
56.677164,7,1931.738142
23.735528,2,1932.821331
248.635654,28,1936.517788
35.08316,7,1937.944556
233.382092,28,1941.402578
288.761554,28,1946.679654
202.532493,28,1950.376017
10.651307,6,1951.963998
287.843202,28,1954.780145
29.017701,6,1956.115883
10.31408,6,1957.481826
9.394645,4,1958.816848
20.420233,5,1960.112827
33.304888,4,1961.97611
244.751638,28,1965.033189
44.24613,7,1966.823461
24.657688,7,1968.142951
0.658975,3,1969.32385
11.932322,4,1970.808995
5.14272,2,1972.224436
259.267911,28,1975.470648
258.845818,28,1978.167642
291.927031,28,1981.47359
49.757317,6,1982.722742
26.641657,4,1984.142437
50.627216,7,1985.487448
4.574312,3,1986.576044
48.661663,6,1989.529474
267.375954,28,1992.756387
15.317641,6,1994.536916
37.45726,5,1995.740071
26.676276,5,1997.317912
1.7563,2,1998.774343
25.584626,6,2000.006269
6.731599,4,2001.157608
31.255106,6,2003.468931
254.079028,28,2007.103412
11.091823,7,2008.450886
28.375162,4,2009.620301
30.218883,7,2037.574669
16.32569,6,2039.223172
27.262773,5,2040.533666
2.820855,4,2041.850153
265.4778,28,2044.928208
34.471663,7,2047.039043
23.45034,7,2048.747703
20.813435,6,2049.954652
-0.348766,3,2051.093696
31.131885,5,2052.293366
272.800811,28,2055.78951
10.577694,4,2057.032421
71.208256,7,2060.00434
5.229228,4,2061.486714
268.04698,28,2064.517822
27.587056,6,2066.278921
26.729967,7,2068.280437
14.631299,4,2069.46248
